cluster_key,cluster_value
0,[3270]
1,"[58, 2940]"
2,"[70, 171, 2888]"
3,"[31, 36, 111, 597, 1674]"
4,[2839]
5,"[6, 955]"
6,"[5, 955]"
8,"[238, 1702]"
9,[3023]
11,[1523]
21,"[23, 1150]"
23,"[21, 1150]"
28,"[29, 39]"
29,[28]
30,"[771, 1774]"
32,"[33, 142, 920, 990, 991, 1052, 1535, 1589, 1740, 1781, 2171, 3116, 3127]"
33,"[32, 1766]"
36,[111]
38,[38]
39,"[28, 29, 36, 111, 2362]"
53,[572]
58,[2940]
60,"[95, 549, 839, 1545, 1570, 2835]"
61,"[71, 694]"
64,[64]
65,[65]
70,"[2, 189, 197, 198, 199, 212, 785, 796, 797, 803, 948, 980, 981, 982, 1672, 2180, 2212, 3004]"
71,"[61, 72, 694]"
72,[71]
74,[2433]
75,"[613, 1605]"
77,"[1317, 2915, 3243]"
78,"[1162, 2838, 3036]"
80,[1100]
81,[1100]
83,"[2874, 2920]"
84,[84]
88,"[89, 643]"
89,"[88, 643]"
94,"[95, 549]"
95,"[60, 94]"
106,[1385]
109,"[431, 432, 441]"
111,"[3, 36, 39, 259, 598, 1040, 1675, 2555]"
121,[2803]
126,"[137, 896, 1861]"
127,[2720]
128,[128]
129,[129]
131,[440]
134,[1983]
137,[126]
139,"[375, 1927]"
142,"[32, 1680, 2414]"
143,[2812]
144,"[146, 174, 322, 2434]"
145,[1374]
146,"[144, 174, 327, 2434]"
147,[696]
148,"[186, 301, 3121]"
149,[149]
150,[150]
152,[152]
158,[159]
159,[158]
161,[162]
162,[161]
163,[164]
164,[163]
168,[1708]
169,[408]
170,[946]
171,[2]
174,"[144, 146, 331, 2434]"
177,[179]
179,[177]
183,[2803]
185,[186]
186,"[148, 185, 243, 301, 1613, 1955, 2953, 2998]"
188,"[189, 190, 225, 379, 769, 948, 965, 1611]"
189,"[70, 188, 190, 224, 225, 226, 965]"
190,"[188, 189, 225, 965, 980]"
191,[2214]
197,[70]
198,"[70, 2888, 3088]"
199,"[70, 1915]"
203,[3055]
205,"[805, 979]"
207,[2185]
210,[1717]
211,"[238, 291, 1702, 1720, 1861]"
212,"[70, 948, 1579]"
213,"[750, 1583]"
214,[214]
215,"[749, 3092]"
216,[1751]
217,[911]
218,"[598, 1040]"
220,[248]
221,[942]
223,[2444]
224,"[189, 225, 226, 785]"
225,"[188, 189, 190, 224, 226, 785, 965, 1916]"
226,"[189, 224, 225, 785]"
227,[2552]
229,[245]
230,[252]
232,[1615]
236,"[1965, 3009]"
238,"[8, 211, 2121]"
239,[954]
243,[186]
244,[244]
245,"[229, 267]"
248,[220]
249,[499]
250,[3120]
251,[267]
252,"[230, 347, 793, 1039, 1678, 1679]"
253,[1783]
257,[421]
258,[421]
259,"[36, 111]"
261,[1773]
262,"[701, 1755, 1776, 2646, 2726]"
263,"[701, 1202, 2932]"
267,"[245, 251]"
268,[2539]
270,[304]
280,[283]
283,"[280, 1123]"
286,[345]
290,[3023]
291,[211]
297,"[149, 443, 476, 693, 1682, 1683, 1730, 1731, 1732, 1839]"
301,"[148, 186, 2997]"
303,"[421, 977]"
304,"[270, 1982]"
305,[308]
306,"[307, 309, 310]"
307,"[306, 309, 310]"
308,[305]
309,"[306, 307, 310]"
310,"[306, 307, 309]"
311,[1558]
312,"[1342, 1350]"
315,"[1051, 1343]"
319,[319]
320,"[322, 327, 331]"
321,"[696, 1373]"
322,"[144, 320, 327, 331]"
323,[696]
324,"[325, 696]"
325,[324]
327,"[146, 320, 322, 331]"
328,[2703]
330,[330]
331,"[174, 320, 322, 327]"
333,[333]
336,[844]
341,"[558, 913, 914]"
342,[914]
345,[286]
346,"[367, 369]"
347,"[252, 793, 1039]"
354,"[652, 662]"
355,[356]
356,[355]
357,[406]
358,[358]
359,[359]
360,[361]
361,[361]
362,[362]
363,[1054]
366,"[367, 369]"
367,"[346, 366, 369]"
368,[368]
369,"[346, 366, 367]"
371,"[372, 391]"
372,"[371, 391]"
374,[2650]
375,"[139, 605, 1710, 1927, 3010]"
376,[377]
377,[376]
378,"[971, 1318, 1680]"
379,"[188, 769, 948, 1611]"
381,[382]
382,[381]
388,[392]
389,"[390, 393]"
390,"[389, 394]"
391,"[371, 372]"
392,[388]
393,"[389, 394]"
394,"[390, 393]"
395,[396]
396,[395]
397,[398]
398,[397]
399,[400]
400,[399]
402,"[501, 2967, 3238]"
403,"[1363, 1364]"
404,[333]
406,[357]
407,[361]
408,"[169, 423, 445]"
409,"[410, 696, 1373]"
410,"[409, 1373]"
412,[412]
416,[416]
418,"[129, 419, 2997]"
419,[418]
421,"[257, 258, 303]"
423,"[408, 445]"
424,[461]
431,"[109, 432, 441]"
432,"[109, 431, 441]"
438,[439]
439,[438]
440,[131]
441,"[109, 431, 432]"
443,[297]
445,"[408, 423, 1558]"
446,[1541]
448,[690]
450,"[1428, 1809, 2708]"
457,[1174]
458,[578]
460,"[1163, 2940]"
461,[424]
474,"[659, 2912]"
476,[297]
486,[2572]
491,[492]
492,[491]
493,"[1426, 1526]"
499,[249]
501,"[402, 502]"
502,[501]
503,[503]
510,[1178]
511,[1178]
512,"[551, 946, 1063]"
518,[1251]
525,[1614]
533,[840]
534,"[536, 1263]"
536,"[534, 1263]"
539,[946]
548,[548]
549,"[60, 94, 2368, 2370, 2641, 2644]"
551,"[512, 946]"
552,[553]
553,[552]
558,[341]
559,"[1604, 1679, 1680]"
562,[562]
563,[1411]
564,"[1176, 2417, 3178]"
568,[1412]
569,[1411]
572,[53]
573,[573]
578,[458]
584,"[1708, 2654]"
585,[588]
587,[1541]
588,[585]
589,"[41, 750]"
595,[827]
597,[3]
598,"[36, 111, 218, 1040, 2921]"
600,[802]
604,[2184]
605,[375]
609,[611]
611,[609]
613,"[75, 1605]"
614,[614]
615,[877]
617,"[900, 1666]"
619,[620]
620,[619]
623,[637]
637,[623]
638,[2882]
640,[640]
642,[1140]
643,"[88, 89]"
646,[649]
647,[669]
649,[646]
652,"[354, 662]"
659,"[474, 2902]"
660,[2912]
661,[661]
662,"[354, 652]"
664,"[1104, 3043]"
669,[647]
672,[2576]
673,"[675, 1045, 1762]"
674,[675]
675,"[673, 674]"
684,"[2573, 2902]"
685,[1750]
688,[661]
689,[1698]
690,[448]
692,[1732]
693,[297]
694,"[61, 71]"
695,[695]
696,"[147, 321, 323, 324, 409, 1065, 1066]"
701,"[262, 263, 1202]"
704,"[739, 1887]"
710,[710]
717,[720]
718,[719]
719,[718]
720,"[717, 721]"
721,[720]
724,[736]
726,[3274]
728,[880]
729,"[1151, 1480]"
732,[734]
734,[732]
736,[724]
738,[1032]
739,[704]
742,[1957]
749,"[215, 3092]"
750,"[213, 237, 589, 1715]"
751,[963]
752,[1817]
756,[1311]
758,[758]
769,"[188, 379, 948, 1611, 2957]"
771,"[30, 1774]"
773,"[779, 780]"
774,[1000]
777,[778]
778,[777]
779,[773]
780,[773]
785,"[70, 224, 225, 226, 1916]"
786,"[983, 1601]"
787,[788]
788,[787]
790,[1047]
793,"[252, 347, 1039, 1964]"
796,"[70, 2605, 3087]"
797,"[70, 982]"
798,[799]
799,[798]
802,[802]
803,[70]
805,[205]
813,[813]
814,[815]
815,[814]
823,[2274]
824,[1252]
827,[595]
835,[1721]
836,[2473]
837,[2814]
838,"[2758, 2759]"
839,"[60, 2775]"
840,"[533, 2415, 2665]"
842,[842]
844,[336]
848,[1152]
850,"[851, 3141]"
851,"[850, 3141]"
853,[853]
858,[1543]
859,[860]
860,"[859, 3041]"
863,[864]
864,[863]
865,[2770]
872,[1723]
876,[1737]
877,[615]
880,[728]
888,[888]
890,[3203]
896,[126]
899,[1526]
900,[617]
907,[908]
908,"[907, 910, 915]"
910,[908]
911,[217]
913,[341]
914,"[341, 342]"
915,"[908, 1527]"
920,[32]
923,[2462]
928,[928]
929,"[1517, 2787]"
937,[3057]
938,[2299]
942,"[221, 2970]"
943,"[1726, 2189]"
944,[1042]
946,"[170, 512, 539, 551, 984, 1259, 1599, 1689, 2131, 2164]"
947,[947]
948,"[70, 188, 212, 379, 769, 1611]"
952,"[1045, 1729, 1745, 1762]"
953,[1018]
954,[239]
955,"[5, 6]"
956,[1844]
957,[1845]
961,[961]
963,"[751, 1148]"
964,[964]
965,"[188, 189, 190, 225]"
966,[966]
967,[748]
969,"[85, 412]"
970,"[1799, 1800, 1801]"
971,[378]
972,[2350]
974,[974]
976,[1019]
977,[303]
978,[1861]
979,[205]
980,"[70, 190]"
981,[70]
982,"[70, 797]"
983,[786]
984,[946]
985,"[986, 987]"
986,"[985, 987]"
987,"[985, 986]"
988,"[1267, 1272]"
989,[2856]
990,[32]
991,"[32, 2171]"
993,[993]
994,[994]
998,[1699]
1000,[774]
1002,[3035]
1003,"[1004, 1005]"
1004,"[1003, 1005]"
1005,"[1003, 1004]"
1010,[2852]
1018,[953]
1019,[976]
1022,[2839]
1031,[3155]
1032,"[738, 1238, 1888, 2795]"
1033,[1033]
1034,"[3016, 3017]"
1037,[1037]
1039,"[252, 347, 793]"
1040,"[111, 218, 598, 2921]"
1041,[2970]
1042,"[944, 3123]"
1043,[1043]
1045,"[673, 952, 1762]"
1047,[790]
1048,[1048]
1050,[2964]
1051,[315]
1052,"[32, 3239]"
1054,[363]
1062,"[1063, 1599]"
1063,"[512, 1062, 1599]"
1064,[1064]
1065,[696]
1066,[696]
1068,[1068]
1070,[1071]
1071,[1070]
1072,[2363]
1083,[1083]
1100,"[80, 81, 3114]"
1103,[1103]
1104,[664]
1108,[1108]
1111,[1112]
1112,[1111]
1116,[2927]
1117,"[1426, 1526]"
1118,[1118]
1123,"[283, 1129]"
1127,[1127]
1129,[1123]
1134,[1134]
1140,[1140]
1144,"[1140, 1162]"
1145,[1146]
1146,[1145]
1148,[963]
1149,[1153]
1150,"[21, 23]"
1151,"[729, 1140, 2444, 2473, 2672]"
1152,[848]
1153,[1149]
1155,"[1194, 1426]"
1158,"[58, 1442, 2940]"
1159,[1713]
1162,"[78, 1144, 3036]"
1163,[460]
1165,[1442]
1168,[2069]
1171,[1526]
1172,[1172]
1173,[1173]
1174,[457]
1178,[1178]
1179,[2284]
1181,[1851]
1182,"[1849, 3189, 3190]"
1188,"[1202, 2932]"
1192,[1248]
1194,"[1155, 1541]"
1197,[1537]
1198,[1539]
1202,"[263, 701, 1188, 2932, 2933]"
1204,[2814]
1208,[1208]
1211,[1265]
1228,[1229]
1229,[1228]
1236,[1770]
1238,"[1032, 1265]"
1242,[1243]
1243,[1242]
1245,[1245]
1246,[1246]
1248,[1192]
1250,[1307]
1251,"[518, 2158]"
1252,[824]
1253,[2777]
1256,[2571]
1259,"[946, 1936, 1937, 1938, 1939, 1941, 1972, 3170, 3171, 3172, 3173]"
1260,"[1262, 1263]"
1261,[1263]
1262,"[1260, 1263]"
1263,"[534, 536, 1260, 1261, 1262, 2008, 2217, 2302]"
1265,"[1211, 1238]"
1266,"[1449, 1450, 1503]"
1267,"[988, 1272]"
1268,"[1275, 1491]"
1272,"[988, 1267]"
1273,[3108]
1275,"[1268, 1491]"
1277,[1483]
1280,"[1281, 1282]"
1281,"[1280, 1283]"
1282,"[1280, 1283]"
1283,"[1281, 1282]"
1284,[1285]
1285,[1284]
1288,"[1289, 1290]"
1289,"[1288, 1290]"
1290,"[1288, 1289]"
1293,[1294]
1294,[1293]
1298,[1299]
1299,[1298]
1307,[1250]
1308,[1308]
1311,[756]
1316,[3167]
1317,"[77, 2915, 3243]"
1318,"[378, 1736, 1781, 1810, 1812, 1813, 1814, 1896]"
1322,[1322]
1325,"[1327, 2352]"
1326,[1322]
1327,"[1325, 2352]"
1329,[1329]
1339,"[1340, 1341, 1342, 1367]"
1340,"[1339, 1341, 1342]"
1341,"[1339, 1340, 1342, 1343]"
1342,"[312, 1339, 1340, 1341, 1345, 1350]"
1343,"[315, 1341, 1344, 1345]"
1344,"[1343, 1345]"
1345,"[1342, 1343, 1344]"
1350,"[312, 1342]"
1352,[2966]
1355,[1357]
1357,[1355]
1359,[1360]
1360,[1359]
1363,"[403, 1364]"
1364,"[403, 1363]"
1365,[1366]
1366,[1365]
1367,[1339]
1371,[1372]
1372,[1371]
1373,"[321, 409, 410]"
1374,[145]
1376,"[1377, 1379]"
1377,"[1376, 1379]"
1379,"[1376, 1377]"
1385,"[106, 695, 2005, 2007, 2008, 2012, 2026, 2027]"
1386,[1866]
1387,[2844]
1399,[1400]
1400,[1399]
1403,[2201]
1411,"[563, 569]"
1412,[568]
1414,"[2305, 2852, 3266]"
1417,[1417]
1424,[2787]
1425,[1425]
1426,"[493, 1117, 1155, 1526]"
1427,[2148]
1428,"[450, 1809]"
1442,"[1158, 1165, 2665]"
1449,"[1266, 1503]"
1450,"[1266, 1503]"
1458,[1461]
1461,[1458]
1463,[2550]
1464,[1464]
1473,[1906]
1475,[1475]
1480,[729]
1483,[1277]
1484,[2053]
1490,[2383]
1491,"[1268, 1275]"
1495,[2071]
1503,"[1266, 1449, 1450]"
1506,[2648]
1508,[1510]
1510,[1508]
1517,[929]
1522,[1522]
1523,"[11, 1873]"
1525,[2436]
1526,"[493, 899, 1117, 1171, 1426]"
1527,"[915, 2142]"
1532,"[3189, 3190]"
1535,"[32, 1736]"
1537,"[1197, 1539]"
1539,"[1198, 1537]"
1541,"[446, 587, 1194, 2527, 2913]"
1543,[858]
1544,[1545]
1545,"[60, 1544, 1546, 1547, 2830]"
1546,"[1545, 1547]"
1547,"[1545, 1546]"
1549,"[2804, 2895]"
1555,[1555]
1556,[1557]
1557,[1556]
1558,"[311, 445]"
1560,[3214]
1570,[60]
1571,"[1837, 2473, 2698, 2706]"
1572,[1572]
1575,[1576]
1576,[1575]
1578,"[2647, 3082]"
1579,[212]
1589,"[32, 2713]"
1591,[1591]
1593,"[1594, 1595, 1596, 1597, 1598]"
1594,"[1593, 1595, 1596, 1597, 1598]"
1595,"[1593, 1594, 1596, 1597, 1598]"
1596,"[1593, 1594, 1595, 1597, 1598]"
1597,"[1593, 1594, 1595, 1596, 1598]"
1598,"[1593, 1594, 1595, 1596, 1597]"
1599,"[946, 1062, 1063]"
1601,"[58, 786, 2940, 3060]"
1602,[3076]
1604,"[559, 1605, 1679, 1680]"
1605,"[75, 613, 1604]"
1607,"[2963, 2967]"
1611,"[188, 379, 769, 948]"
1613,[186]
1614,[525]
1615,"[232, 813]"
1621,[1757]
1625,[2809]
1636,[1637]
1637,[1636]
1642,[1880]
1645,[1572]
1652,[3243]
1657,[1657]
1658,[1657]
1666,[617]
1672,[70]
1674,[3]
1675,"[36, 111]"
1676,[896]
1678,"[252, 1788]"
1679,"[252, 559, 1604]"
1680,"[142, 378, 559, 1604]"
1682,[297]
1683,[297]
1687,[2782]
1689,"[763, 946]"
1690,[1690]
1696,[1696]
1698,"[689, 1708, 2681]"
1699,[998]
1700,[1700]
1701,[1701]
1702,"[8, 211]"
1703,"[1704, 1705]"
1704,"[1703, 1705]"
1705,"[1703, 1704]"
1708,"[168, 584, 1698, 2536, 2654]"
1710,"[375, 3010]"
1711,[1718]
1713,"[1159, 1732, 3121]"
1715,"[750, 1677]"
1717,[210]
1718,[1711]
1721,[835]
1723,[872]
1726,[943]
1729,"[952, 1745]"
1730,[297]
1731,[297]
1732,"[297, 692, 1713, 3121]"
1736,"[1318, 1535, 1781]"
1737,[876]
1740,[32]
1741,[1748]
1745,"[952, 1729]"
1748,[1741]
1749,[1749]
1750,[1750]
1751,[1751]
1752,[1752]
1755,[262]
1757,[1621]
1762,"[673, 952, 1045, 1784]"
1766,[33]
1773,[261]
1774,"[30, 771]"
1775,[1775]
1776,"[262, 2646, 2726]"
1777,[1783]
1781,"[32, 1318, 1736, 1810, 1812, 1813, 1896]"
1782,[1782]
1783,"[253, 1777]"
1784,"[1762, 2956]"
1788,[1678]
1789,"[2773, 3266]"
1792,[1796]
1796,[1792]
1799,"[970, 1800, 1801]"
1800,"[970, 1799, 1801]"
1801,"[970, 1799, 1800]"
1804,[1804]
1809,"[450, 1428]"
1810,"[1318, 1781]"
1812,"[1318, 1781]"
1813,"[1318, 1781, 1814]"
1814,"[1318, 1813]"
1817,[752]
1825,[1825]
1834,[1834]
1837,[1571]
1839,[297]
1840,[1889]
1844,[956]
1845,[957]
1846,[1846]
1848,[3248]
1849,[1182]
1851,[1181]
1861,"[126, 978]"
1866,[1386]
1872,[2815]
1873,[1523]
1877,[1308]
1880,[1642]
1882,[2545]
1886,[1886]
1887,[704]
1888,[1032]
1889,[1840]
1892,[3157]
1896,"[1318, 1781]"
1906,[1473]
1907,[2015]
1915,[199]
1916,[785]
1918,[1919]
1919,[1918]
1927,"[139, 375]"
1930,[1967]
1932,[2627]
1935,[3127]
1936,"[1259, 1937, 1938, 1939]"
1937,"[1259, 1936, 1938, 1939, 1972]"
1938,"[1259, 1936, 1937, 1939]"
1939,"[1259, 1936, 1937, 1938]"
1941,[1259]
1942,[2951]
1947,[1984]
1949,[3001]
1957,[742]
1965,[236]
1967,[1930]
1972,"[1259, 1937]"
1976,[1977]
1977,[1976]
1978,[1979]
1979,[1978]
1983,[134]
1987,[1988]
1988,[1987]
1993,"[1995, 1996]"
1994,[1997]
1995,[1993]
1996,[1993]
1997,[1994]
2000,[2000]
2004,[2004]
2007,[1385]
2008,"[1263, 1385]"
2012,[1385]
2015,[1907]
2026,[1385]
2027,[1385]
2033,[2044]
2044,[2033]
2053,[1484]
2055,[2057]
2057,[2055]
2064,[3112]
2069,"[1168, 3126]"
2070,[2085]
2071,[1495]
2076,[2080]
2080,[2076]
2085,[2070]
2087,[2129]
2089,"[2105, 2112, 2119]"
2097,[2637]
2099,"[2101, 2108]"
2101,"[2099, 2108]"
2102,"[2103, 2130]"
2103,"[2102, 2130]"
2105,"[2089, 2119]"
2108,"[2099, 2101]"
2112,"[2089, 2119]"
2115,[2116]
2116,[2115]
2119,"[2089, 2105, 2112]"
2121,[238]
2129,[2087]
2130,"[2102, 2103]"
2131,[946]
2140,[1750]
2141,[2141]
2142,[1527]
2145,"[1869, 3197]"
2148,[1427]
2151,[2658]
2153,[2406]
2156,[3018]
2157,"[2939, 3163, 3164]"
2158,[1251]
2159,[2160]
2160,[2159]
2164,[946]
2166,"[2167, 2168]"
2167,"[2166, 2168]"
2168,"[2166, 2167]"
2171,"[32, 991, 1913]"
2172,[2835]
2173,[2173]
2174,[2174]
2176,"[58, 2940]"
2177,[2178]
2178,[2177]
2180,[70]
2182,[2182]
2184,[604]
2185,[207]
2187,[2188]
2188,[2187]
2189,[943]
2196,[2196]
2201,[1403]
2212,[70]
2214,[191]
2217,[1263]
2225,[2226]
2226,[2225]
2237,"[2238, 2239]"
2238,[2237]
2239,"[2237, 2240]"
2240,[2239]
2241,[2247]
2242,"[2243, 2245]"
2243,"[2242, 2246]"
2244,[2248]
2245,"[2242, 2246]"
2246,"[2243, 2245]"
2247,"[2241, 2248, 2249]"
2248,"[2244, 2247, 2250]"
2249,"[2247, 2250]"
2250,"[2248, 2249]"
2253,[2254]
2254,[2253]
2255,[2256]
2256,[2255]
2257,[2258]
2258,[2257]
2259,"[2260, 2261]"
2260,"[2259, 2261]"
2261,"[2259, 2260]"
2265,"[2266, 2304, 2315]"
2266,"[2265, 2306, 2315]"
2274,"[823, 1425, 3164]"
2284,"[1179, 3064]"
2285,[2285]
2286,[2286]
2296,[2297]
2297,[2296]
2299,[938]
2300,[2300]
2301,[2301]
2302,[2302]
2303,[2303]
2304,"[2265, 2947]"
2305,"[1414, 2642]"
2306,"[2266, 2947]"
2315,"[2265, 2266]"
2318,[3168]
2321,[3191]
2329,[2412]
2333,[2337]
2337,[2333]
2341,[2342]
2342,[2341]
2350,[972]
2352,"[1325, 1327]"
2354,[2354]
2360,[2360]
2361,[2361]
2362,"[28, 39]"
2363,[1072]
2368,[549]
2370,"[549, 2835]"
2374,[2374]
2375,[2375]
2377,[2377]
2383,[1490]
2393,[2360]
2403,[2403]
2406,[2153]
2412,[2329]
2414,[142]
2415,[840]
2426,[2441]
2432,[2432]
2433,[74]
2434,"[144, 146, 174, 2435]"
2435,[2434]
2436,[1525]
2440,[2441]
2441,"[2426, 2440]"
2444,"[223, 1151]"
2445,[2467]
2449,"[2451, 2452]"
2451,"[2449, 2452]"
2452,"[2449, 2451]"
2462,[923]
2467,[2445]
2473,"[836, 1151, 1571]"
2476,"[2478, 2479, 2481]"
2477,[2480]
2478,"[2476, 2479, 2481]"
2479,"[2476, 2478, 2481]"
2480,[2477]
2481,"[2476, 2478, 2479]"
2487,[2487]
2505,[2506]
2506,[2505]
2516,[2516]
2527,"[1541, 2940]"
2531,[2531]
2535,"[1751, 3126]"
2536,[1708]
2539,[268]
2544,[2544]
2545,[1882]
2549,[2549]
2550,[2550]
2552,[2552]
2554,[2643]
2555,"[36, 111]"
2564,[2565]
2565,[2564]
2568,[2568]
2569,[2569]
2571,[1256]
2572,[486]
2573,[684]
2576,"[672, 2838]"
2605,[796]
2609,[2609]
2621,"[2622, 2623]"
2622,[2621]
2623,[2621]
2627,[1932]
2631,[3266]
2637,[2097]
2638,[2638]
2641,[549]
2642,"[562, 2305]"
2643,"[562, 2554]"
2644,[549]
2646,"[262, 1776, 2726]"
2647,[1578]
2648,[1506]
2650,[374]
2654,"[584, 1708]"
2658,[2151]
2665,"[840, 1442]"
2672,[1151]
2673,[2673]
2674,[2674]
2675,[2756]
2681,[1698]
2692,"[2487, 2693, 3102]"
2693,[2692]
2698,[1571]
2703,[328]
2705,[2705]
2706,[1571]
2707,[2707]
2708,[450]
2711,[3203]
2713,[1589]
2714,[2714]
2720,"[127, 2721]"
2721,[2720]
2725,[3251]
2726,"[262, 1776, 2646]"
2727,[813]
2738,"[3124, 3193]"
2743,[2743]
2745,[2745]
2755,[2755]
2756,"[2675, 2757]"
2757,[2756]
2758,[838]
2759,[838]
2761,[3136]
2770,[865]
2773,"[1789, 3266]"
2774,[2774]
2775,[839]
2777,[1253]
2782,"[1687, 3245]"
2786,[928]
2787,"[929, 1424]"
2790,[2791]
2791,[2790]
2795,[1032]
2803,"[121, 183]"
2804,[1549]
2808,[2808]
2809,"[1625, 2808]"
2812,"[143, 783]"
2814,"[837, 1204]"
2815,[1872]
2822,[3134]
2830,[1545]
2831,[2833]
2833,[2831]
2835,"[60, 2172, 2370]"
2838,"[78, 2576]"
2839,"[4, 1022]"
2844,[1387]
2851,[2939]
2852,"[1010, 1414, 3266]"
2856,"[989, 2868]"
2868,[2856]
2871,[3053]
2872,"[3054, 3094]"
2874,"[83, 2920]"
2881,[2881]
2888,"[2, 198]"
2892,[2892]
2893,[2893]
2895,[1549]
2899,[2899]
2902,"[659, 684]"
2909,[2910]
2910,[2909]
2911,[2912]
2912,"[474, 660, 2911]"
2915,"[77, 1317, 3243]"
2916,"[2917, 3038, 3243]"
2917,"[2916, 3038, 3243]"
2920,[2874]
2924,[2924]
2926,[2935]
2927,"[1116, 1140]"
2930,[2931]
2931,[2930]
2932,"[263, 1188, 1202]"
2933,[1202]
2935,[2926]
2939,"[2157, 2851]"
2940,"[1, 58, 460, 1158, 1601, 2176, 2527]"
2941,[2941]
2945,[2945]
2946,[2991]
2947,[2947]
2949,[2949]
2951,[1942]
2953,"[186, 2971]"
2956,[1784]
2957,[769]
2963,[1607]
2964,[1050]
2966,[1352]
2967,"[402, 1607]"
2970,"[942, 1041]"
2971,[2953]
2981,[2981]
2982,[2982]
2986,[2986]
2991,[2946]
2995,[2995]
2996,[964]
2997,"[301, 418]"
2998,[186]
3000,[2009]
3001,[1949]
3004,[70]
3005,[3005]
3006,[3007]
3007,[3006]
3009,[236]
3010,"[375, 1710]"
3016,[1034]
3017,[1034]
3018,[2156]
3021,[3021]
3023,"[9, 290]"
3024,[3025]
3025,[3024]
3028,[3030]
3030,[3028]
3035,"[1002, 3127]"
3036,"[78, 1162]"
3038,"[2916, 2917]"
3041,[860]
3043,[664]
3053,[2871]
3054,[2872]
3055,[203]
3056,[3056]
3057,[937]
3064,[2284]
3065,[3065]
3067,"[3068, 3080, 3081]"
3068,[3067]
3076,[1602]
3080,"[3067, 3081]"
3081,"[3067, 3080]"
3082,[1578]
3087,[796]
3088,[198]
3092,[749]
3094,[2872]
3097,[3097]
3105,[3105]
3108,[1273]
3112,[2064]
3114,[1100]
3116,[32]
3120,[250]
3121,"[148, 1713, 1732]"
3123,[1042]
3124,"[2738, 3193]"
3126,[3126]
3127,[3127]
3133,[3134]
3134,"[2822, 3133]"
3136,[2761]
3138,[3138]
3139,[3139]
3141,"[850, 851]"
3142,[3147]
3145,[3146]
3146,[3145]
3147,[3142]
3155,[1031]
3157,[1892]
3163,[2157]
3164,"[2157, 2274]"
3167,[1316]
3168,[3168]
3170,"[1259, 3171, 3173]"
3171,"[1259, 3170, 3172, 3173]"
3172,"[1259, 3171]"
3173,"[1259, 3170, 3171]"
3178,[564]
3184,[3203]
3189,"[1182, 1532, 3190]"
3190,"[1182, 1532, 3189]"
3191,[2321]
3193,"[2738, 3124]"
3194,[3203]
3195,[3197]
3197,"[2145, 3195]"
3203,"[890, 2711, 3184, 3194]"
3214,[1560]
3238,[402]
3239,[1052]
3243,"[77, 1317, 1652, 2915, 2916, 2917]"
3244,[3245]
3245,"[2782, 3244]"
3248,[1848]
3251,[2725]
3254,[3255]
3255,"[3254, 3258]"
3256,[3257]
3257,[3256]
3258,[3255]
3263,[3264]
3264,[3263]
3265,[3265]
3266,"[1414, 1789, 2631, 2773, 2852]"
3270,[0]
3274,[726]
